Name   tor.angle pol.angle R      z      shift	dtheta	dphi	R/Ohm	Aeff/m^2
===============================================================================
BAL04	4.9087385 0.0000000 2.3860 -0.0450 0.0 0.0000 0.0000 1.0000 0.119026
BAL05	4.9837606 0.0000000 2.2674 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
BAL06	5.1407092 0.0000000 2.3010 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
BAL07	4.7318256 0.0000000 2.3010 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
BAL09	0.0000000 0.0000000 2.1450 -0.3800 0.0 0.0000 0.0000 1.0000 0.119026
BAL10	0.0000000 0.0000000 2.1900 -0.2500 0.0 0.0000 0.0000 1.0000 0.119026
BAL11	0.0000000 0.0000000 2.2200 -0.1260 0.0 0.0000 0.0000 1.0000 0.119026
BAL12	0.0000000 0.0000000 2.2550 0.1120 0.0 0.0000 0.0000 1.0000 0.119026
BAL13	0.0000000 0.0000000 2.2600 0.2400 0.0 0.0000 0.0000 1.0000 0.119026
BAL14	0.0000000 0.0000000 2.2300 0.3600 0.0 0.0000 0.0000 1.0000 0.119026
BAL15	0.0000000 0.0000000 1.9700 0.9000 0.0 0.0000 0.0000 1.0000 0.119026
#BAL16	0.0000000 0.0000000 2.2900 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
#BAL17	0.0000000 0.0000000 2.2980 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
#BAL18	0.0000000 0.0000000 2.2980 0.0000 0.0 0.0000 0.0000 1.0000 0.119026
B31-01  4.7728466 -0.0030043 2.3157100 -0.00200 0.0 0.0000 0.0000 73.8 0.119026
B31-02  5.1837727 0.0148528 2.2559000 0.00900 0.0 0.0000 0.0000 106.1 0.119026
B31-03  4.7430956 -0.0079400 2.3157100 -0.00500 0.0 0.0000 0.0000 92.2 0.119026
B31-05	5.1837727 -0.5996133 2.16787 -0.3540 0.0 -0.4538 0.0000 89.2 0.119026
B31-06	5.1837727 -0.3948667 2.21388 -0.2350 0.0 -0.2583 0.0000 82.0 0.119026
B31-07	5.1837727 -0.1871677 2.24139 -0.1120 0.0 -0.1571 0.0000 94.9 0.119026
B31-08	5.1837727 0.2401990 2.25426 0.1480 0.0 0.0349 0.0000 88.4 0.119026
B31-09	5.1837727 0.4343090 2.24718 0.2770 0.0 0.1484 0.0000 86.5 0.119026
B31-10	5.1837727 0.6222068 2.21466 0.4050 0.0 0.2618 0.0000 100.4 0.119026
B31-11	5.1407092 1.347320 1.8750 0.9900 0.0 0.6807 0.0000 111.6 0.119026
B31-12  5.7474260 0.0000000 2.2717100 0.00000 0.0 0.0175 0.0000 74.2 0.119026
B31-13  6.7532993 0.0000000 2.2927100 0.00000 0.0 0.0082 0.0000 86.8 0.119026
B31-14  3.5964979 0.0000000 2.2907100 0.00000 0.0 -0.0349 0.0000 94.9 0.119026
B31-30	2.8274334 0.6222068 2.21466 0.4050 0.0 0.2618 0.0000 61.9 0.119026
B31-30vv	2.8274334 0.6222068 2.21466 0.4050 0.0 0.2618 0.0000 61.9 0.119026
B31-31	5.1952345 2.39003 1.04315 0.567110 0.0 2.91757 0.0000 1.0 0.119026
B31-32	0.91681450 2.39003 1.17000 1.050000 0.0 2.50000 0.0000 1.0 0.119026
B31-38	0.93527811 -2.4750574 0.99430750 -0.51578750 0.0 -2.9584348 0.0000 1.0 0.119026
B31-37	0.92336624 -2.6044980 0.99720250 -0.38873250 0.0 -3.0858329 0.0000 1.0 0.119026
B31-36	0.91040724 -2.9438120 0.99213000 -0.13183750 0.0 -3.1313574 0.0000 1.0 0.119026
B31-35	0.91132372 3.1394693 0.99185000 0.0013975000 0.0 -3.1218004 0.0000 1.0 0.119026
B31-34	0.91127985 2.9396598 0.99258750 0.13458750 0.0 -3.1266818 0.0000 1.0 0.119026
B31-33	0.90997094 2.6725689 0.99590500 0.33145500 0.0 -3.1907762 0.0000 1.0 0.119026
BAL16	0.0000000 -0.541959 2.179215 -0.318638 -1 -0.3403 0.0000 1.0000 0.0368
BAL17	0.0000000 -0.461615 2.195493 -0.271362 0 -0.3403 0.0000 1.0000 0.0368
BAL18	0.0000000 -0.364849 2.210042 -0.213908 -1 -0.2880 0.0000 1.0000 0.0368
BAL19	0.0000000 -0.281360 2.224661 -0.166092 0.0 -0.2880 0.0000 1.0000 0.0368
BAL20	0.0000000 -0.201689 2.235696 -0.119757 0.0 -0.1518 0.0000 1.0000 0.0368
BAL21	0.0000000 -0.117973 2.242655 -0.070243 0.0 -0.1518 0.0000 1.0000 0.0368
BAL22	0.0000000 -0.041222 2.253821 -0.024905 0.0 -0.0820 0.0000 1.0000 0.0368
BAL23	0.0000000 0.040927 2.258179 0.024905 0.0 -0.0820 0.0000 1.0000 0.0368
BAL24	0.0000000 0.122492 2.259253 0.075004 -1 0.0122 0.0000 1.0000 0.0368
BAL25	0.0000000 0.202637 2.258380 0.124996 -1 0.0122 0.0000 1.0000 0.0368
BAL26	0.0000000 0.289893 2.253887 0.180137 -1 0.0977 0.0000 1.0000 0.0368
BAL27	0.0000000 0.366605 2.248661 0.229863 0.0 0.0977 0.0000 1.0000 0.0368
BAL28	0.0000000 0.443716 2.244074 0.282380 0.0 0.1593 0.0000 1.0000 0.0368
BAL29	0.0000000 0.515418 2.235391 0.331620 0.0 0.1593 0.0000 1.0000 0.0368
B31-16	5.9691707 -0.541959 2.179215 -0.318638 -1 -0.3403 0.0000 1.0000 0.0368
B31-17	5.9691707 -0.461615 2.195493 -0.271362 0 -0.3403 0.0000 1.0000 0.0368
B31-18	5.9691707 -0.364849 2.210042 -0.213908 -1 -0.2880 0.0000 1.0000 0.0368
B31-19	5.9691707 -0.281360 2.224661 -0.166092 0.0 -0.2880 0.0000 1.0000 0.0368
B31-20	5.9691707 -0.201689 2.235696 -0.119757 0.0 -0.1518 0.0000 1.0000 0.0368
